Total codepoints: 1114112
Divergent codepoints: 85119
Divergent ranges: 2487

By class pair:

  elixir=error:0 js=identifier:1 -> 82934 codepoints
  elixir=error:0 js=error:1 -> 1190 codepoints
  elixir=error:0 js=atom:1 -> 991 codepoints
  elixir=error:1 js=error:0 -> 3 codepoints
  elixir=identifier:1 js=error:0 -> 1 codepoints

Ranges:

33-33            | elixir=error:1 | js=error:0 (!)
63-64            | elixir=error:1 | js=error:0 (?@)
170-170          | elixir=error:0 | js=identifier:1 (ª)
186-186          | elixir=error:0 | js=identifier:1 (º)
276-276          | elixir=error:0 | js=atom:1 (Ĕ)
277-277          | elixir=error:0 | js=identifier:1 (ĕ)
300-300          | elixir=error:0 | js=atom:1 (Ĭ)
301-301          | elixir=error:0 | js=identifier:1 (ĭ)
306-306          | elixir=error:0 | js=atom:1 (Ĳ)
307-307          | elixir=error:0 | js=identifier:1 (ĳ)
312-312          | elixir=error:0 | js=identifier:1 (ĸ)
319-319          | elixir=error:0 | js=atom:1 (Ŀ)
320-320          | elixir=error:0 | js=identifier:1 (ŀ)
329-329          | elixir=error:0 | js=identifier:1 (ŉ)
334-334          | elixir=error:0 | js=atom:1 (Ŏ)
335-335          | elixir=error:0 | js=identifier:1 (ŏ)
342-342          | elixir=error:0 | js=atom:1 (Ŗ)
343-343          | elixir=error:0 | js=identifier:1 (ŗ)
354-354          | elixir=error:0 | js=atom:1 (Ţ)
355-355          | elixir=error:0 | js=identifier:1 (ţ)
383-384          | elixir=error:0 | js=identifier:1 (ſƀ)
386-386          | elixir=error:0 | js=atom:1 (Ƃ)
387-387          | elixir=error:0 | js=identifier:1 (ƃ)
388-388          | elixir=error:0 | js=atom:1 (Ƅ)
389-389          | elixir=error:0 | js=identifier:1 (ƅ)
391-391          | elixir=error:0 | js=atom:1 (Ƈ)
392-392          | elixir=error:0 | js=identifier:1 (ƈ)
395-395          | elixir=error:0 | js=atom:1 (Ƌ)
396-397          | elixir=error:0 | js=identifier:1 (ƌƍ)
403-403          | elixir=error:0 | js=atom:1 (Ɠ)
405-405          | elixir=error:0 | js=identifier:1 (ƕ)
410-411          | elixir=error:0 | js=identifier:1 (ƚƛ)
412-412          | elixir=error:0 | js=atom:1 (Ɯ)
414-414          | elixir=error:0 | js=identifier:1 (ƞ)
415-415          | elixir=error:0 | js=atom:1 (Ɵ)
418-418          | elixir=error:0 | js=atom:1 (Ƣ)
419-419          | elixir=error:0 | js=identifier:1 (ƣ)
420-420          | elixir=error:0 | js=atom:1 (Ƥ)
421-421          | elixir=error:0 | js=identifier:1 (ƥ)
422-423          | elixir=error:0 | js=atom:1 (ƦƧ)
424-424          | elixir=error:0 | js=identifier:1 (ƨ)
425-425          | elixir=error:0 | js=atom:1 (Ʃ)
426-427          | elixir=error:0 | js=identifier:1 (ƪƫ)
428-428          | elixir=error:0 | js=atom:1 (Ƭ)
429-429          | elixir=error:0 | js=identifier:1 (ƭ)
430-430          | elixir=error:0 | js=atom:1 (Ʈ)
433-433          | elixir=error:0 | js=atom:1 (Ʊ)
437-437          | elixir=error:0 | js=atom:1 (Ƶ)
438-438          | elixir=error:0 | js=identifier:1 (ƶ)
440-440          | elixir=error:0 | js=atom:1 (Ƹ)
441-443          | elixir=error:0 | js=identifier:1 (ƹƺƻ)
444-444          | elixir=error:0 | js=atom:1 (Ƽ)
445-451          | elixir=error:0 | js=identifier:1
452-453          | elixir=error:0 | js=atom:1 (Ǆǅ)
454-454          | elixir=error:0 | js=identifier:1 (ǆ)
455-456          | elixir=error:0 | js=atom:1 (Ǉǈ)
457-457          | elixir=error:0 | js=identifier:1 (ǉ)
458-459          | elixir=error:0 | js=atom:1 (Ǌǋ)
460-460          | elixir=error:0 | js=identifier:1 (ǌ)
469-469          | elixir=error:0 | js=atom:1 (Ǖ)
470-470          | elixir=error:0 | js=identifier:1 (ǖ)
471-471          | elixir=error:0 | js=atom:1 (Ǘ)
472-472          | elixir=error:0 | js=identifier:1 (ǘ)
473-473          | elixir=error:0 | js=atom:1 (Ǚ)
474-474          | elixir=error:0 | js=identifier:1 (ǚ)
475-475          | elixir=error:0 | js=atom:1 (Ǜ)
476-476          | elixir=error:0 | js=identifier:1 (ǜ)
478-478          | elixir=error:0 | js=atom:1 (Ǟ)
