# NOTE: Due to Unicode character width variations, the formatting will appear
# broken in text editors. For proper viewing, use: cat mappings_comparison.txt
================================================================================

Total codepoints: 1114112
Inconsistencies found: 2210

Inconsistencies:

Codepoint | Char    | Elixir Result | JavaScript Result
--------------------------------------------------------------------------------
223       | ß       | 83,115        | 83,83
411       | ƛ       | 411           | 42972
452       | Ǆ       | 453           | 452
453       | ǅ       | 453           | 452
454       | ǆ       | 453           | 452
455       | Ǉ       | 456           | 455
456       | ǈ       | 456           | 455
457       | ǉ       | 456           | 455
458       | Ǌ       | 459           | 458
459       | ǋ       | 459           | 458
460       | ǌ       | 459           | 458
497       | Ǳ       | 498           | 497
498       | ǲ       | 498           | 497
499       | ǳ       | 498           | 497
612       | ɤ       | 612           | 42955
1415      | և       | 1333,1410     | 1333,1362
4304      | ა       | 4304          | 7312
4305      | ბ       | 4305          | 7313
4306      | გ       | 4306          | 7314
4307      | დ       | 4307          | 7315
4308      | ე       | 4308          | 7316
4309      | ვ       | 4309          | 7317
4310      | ზ       | 4310          | 7318
4311      | თ       | 4311          | 7319
4312      | ი       | 4312          | 7320
4313      | კ       | 4313          | 7321
4314      | ლ       | 4314          | 7322
4315      | მ       | 4315          | 7323
4316      | ნ       | 4316          | 7324
4317      | ო       | 4317          | 7325
4318      | პ       | 4318          | 7326
4319      | ჟ       | 4319          | 7327
4320      | რ       | 4320          | 7328
4321      | ს       | 4321          | 7329
4322      | ტ       | 4322          | 7330
4323      | უ       | 4323          | 7331
4324      | ფ       | 4324          | 7332
4325      | ქ       | 4325          | 7333
4326      | ღ       | 4326          | 7334
4327      | ყ       | 4327          | 7335
4328      | შ       | 4328          | 7336
4329      | ჩ       | 4329          | 7337
4330      | ც       | 4330          | 7338
4331      | ძ       | 4331          | 7339
4332      | წ       | 4332          | 7340
4333      | ჭ       | 4333          | 7341
4334      | ხ       | 4334          | 7342
4335      | ჯ       | 4335          | 7343
4336      | ჰ       | 4336          | 7344
4337      | ჱ       | 4337          | 7345
4338      | ჲ       | 4338          | 7346
